,date,c13,o18
508,1777.13,-25.05,25.8
509,1777.38,-24.98,25.22
510,1777.63,-25.61,24.75
511,1777.88,-25.7,24.8
512,1778.25,-24.98,25.17
513,1778.75,-24.43,25.47
514,1779.17,-24.87,24.66
515,1779.5,-24.78,24.57
516,1779.83,-25.5,24.81
517,1780.17,-25.27,24.99
518,1780.5,-25.02,25.53
519,1780.83,-25.55,25.96
520,1781.08,-26.21,25.88
521,1781.25,-26.09,24.92
522,1781.42,-26.58,23.64
523,1781.58,-26.74,23.61
524,1781.75,-26.63,24.27
525,1781.92,-26.7,24.13
526,1782.17,-26.28,24.78
527,1782.5,-26.2,24.32
528,1782.83,-26.84,24.47
529,1783.13,-26.66,24.32
530,1783.38,-26.32,24.93
531,1783.63,-26.45,24.33
532,1783.88,-26.75,24.71
533,1784.13,-26.15,26.72
534,1784.38,-25.93,25.69
535,1784.63,-26.21,25.03
536,1784.88,-26.48,25.09
537,1785.08,-26.1,24.79
538,1785.25,-25.52,24.77
539,1785.42,-26.08,24.12
540,1785.58,-26.1,23.77
541,1785.75,-26.04,24.07
542,1785.92,-26.07,24.11
543,1786.17,-25.48,25.59
544,1786.5,-25.31,25.49
545,1786.83,-25.76,24.48
546,1787.13,-25.62,23.76
547,1787.38,-25.74,24.94
548,1787.63,-25.72,25.83
549,1787.88,-26.09,24.77
550,1788.5,-25.87,24.72
551,1789.17,-25.13,24.96
552,1789.5,-25.46,25.92
553,1789.83,-26.32,24.51
554,1790.13,-26.24,24.9
555,1790.38,-25.86,26.11
556,1790.63,-26.33,25.54
557,1790.88,-26.46,24.35
558,1791.5,-26.15,24.54
559,1792.17,-26.09,25.58
560,1792.5,-25.47,25.68
561,1792.83,-26.17,24.99
562,1793.17,-26.72,24.75
563,1793.5,-26.41,25.69
564,1793.83,-26.92,24.93
565,1794.25,-26.91,24.42
566,1794.75,-26.63,24.41
567,1795.08,-26.85,24.12
568,1795.25,-25.86,24.81
569,1795.42,-25.73,25.03
570,1795.58,-25.76,25.55
571,1795.75,-25.87,25.42
572,1795.92,-25.85,25.63
